word,pos
ក,ន.
ក៏,និ.
កក,កិ.
កក់,កិ.
កក្កដ,ន.
កករ,ន.
កកាត,គុ.
កកាយ,កិ.
កកិចកកុច,គុ.
កកិត,កិ.
កកិល,កិ.
កកូរ,កិ.
កកេបកកាប,កិ.
កកេរ,កិ.
កកេះ,កិ.
កកែកករ,ន.
កកែកកកោក,ន.
កកែងកកោង,ន.
កកែប,ន.
កកោក,ឧ.
កកោស,កិ.
កកោះ,ន.
កក្រិត,គុ.
កក្រើក,កិ.
កក្រោះ,គុ.
កក្លាក់,កិ.
កក្អាក,កិ.
កក្អាយ,ប.
កក្អិច,កិ.
កក្អិល,កិ.
កក្អឹក,កិ.
កក្អៀក,កិ.
កក្អៀច,កិ.
កខិកកខក់,កិ.
កខិបកខុប,គុ.
កខឹក,កិ.
កខុប,ន.
កខ្វក់,គុ.
កខ្វិក,ប.
កខ្វេសកខ្វាស,គុ.
កង,កិ.
កងមាស,ន.
កង់,ន.
កង្កុញ,កិ.
កង្កួច,កិ.
កង្កួញ,កិ.
កង្កែប,ន.
កង្កែបកូប,ន.
កង្កែបប្រុយ,ន.
កង្កែបអាចម៍គោ,ន.
កង្ខា,ន.
កង្ខើញ,កិ.
កង្វល់,ន.
កង្វារ,ន.
កង្វេរ,ន.
កង្ហារ,ន.
កង្ហិច,ន.
កង្ហែន,ន.
កងកេង,ន.
កងចៅ,ន.
កងព័ន្ធ,ន.
កងសោយ,ន.
កច្ចាយនៈ,ន.
កច្ចាយនូបត្ថម្ភកៈ,ន.
កញ្ចក,ន.
កញ្ចក់,ន.
កញ្ចប់,ន.
កញ្ចប់កញ្ចូវ,កិ.
កញ្ចាញ់ចេក,ន.
កញ្ចាញ់ច្រាស,ន.
កញ្ចាម,ន.
កញ្ចាស់,គុ.
កញ្ចឹងក,ន.
កញ្ចុះ,ន.
កញ្ចែ,ន.
កញ្ចោង,ន.
កញ្ចោត,គុ.
កញ្ចោប,ន.
កញ្ចុំ,ន.
កញ្ចាំង,ន.
កញ្ច្រង់,ន.
កញ្ច្រឹក,គុ.
កញ្ច្រឺប,គុ.
កញ្ច្រែង,ន.
កញ្ឆក់,កិ.
កញ្ឆក់កញ្ឆែង,កិ.
កញ្ឆត,គុ.
កញ្ឆល,កិ.
កញ្ឆា,ន.
កញ្ឆាត់,កិ.
កញ្ឆិត,គុ.
កញ្ឆិល,គុ.
កញ្ឆឹម,គុ.
កញ្ឆួង,គុ.
កញ្ឆើញ,គុ.
កញ្ឆៀវ,ន.
កញ្ឆេង,កិ.
កញ្ឆែត,ន.
កញ្ឆែវ,គុ.
កញ្ឆោត,គុ.
កញ្ជង់,កិ.
កញ្ជនជៃ,ន.
កញ្ជប់,គុ.
កញ្ជរ,ន.
កញ្ជាក់,ន.
កញ្ជាក់ស្លា,ន.
កញ្ជាត,ន.
កញ្ជុសមាន់,ន.
កញ្ជួ,គុ.
កញ្ជើ,ន.
កញ្ជើជំពោះ,ន.
កញ្ជើបាយដាច,ន.
កញ្ជែះ,កិ.
កញ្ជះ,ន.
កញ្ជះកញ្ជាយ,កិ.
កញ្ជ្រក់,គុ.
កញ្ជ្រម,គុ.
កញ្ជ្រឹល,ន.
កញ្ជ្រូក,ន.
កញ្ជ្រៀច,ន.
កញ្ជ្រៀប,ន.
កញ្ជ្រៀវ,កិ.
កញ្ជ្រោក,កិ.
កញ្ជ្រោកបោកបាច,កិ.
កញ្ជ្រោង,ន.
កញ្ជ្រោល,កិ.
កញ្ឈូស,កិ.
កញ្ញា,ន.
កញ្ញាកិត្តិយស,ន.
កដប,ន.
កដ្ឋគ្គិ,ន.
កឋិន,ម.
កណិការ,ន.
កណ្ដក់,គុ.
កណ្ដក់សញ្ញា,ន.
កណ្ដប,ន.
កណ្ដាច,ន.
កណ្ដាច់,ន.
កណ្ដាញ់,គុ.
កណ្ដាប់,ន.
កណ្ដាប់ចង្អេរ,ន.
កណ្ដាប់ដៃ,ន.
កណ្ដារ,ន.
កណ្ដាល,ន.
កណ្ដាលស្ទឹង,ន.
កណ្ដាស់,កិ.
កណ្ដឹង,ន.
កណ្ដឹងគោ,ន.
កណ្ដុក,គុ.
កណ្ដុរ,ន.
កណ្ដូង,គុ.
កណ្ដូប,ន.
កណ្ដួយ,ន.
កណ្ដៀខ្មូត,ន.
កណ្ដៀង,ន.
កណ្ដៀត,កិ.
កណ្ដៀតក្អម,ន.
កណ្ដៀទៀ,ន.
កណ្ដៀន,គុ.
កណ្ដៀរ,ន.
កណ្ដៀវ,ន.
កណ្ដេង,ន.
កណ្ដែងកណ្ដោច,គុ.
កណ្ដោច,គុ.
កណ្ដោល,ន.
កណ្ដោលបាត,ន.
កណ្ឌ,ន.
កណ្ហាជិនា,ន.
កត់,កិ.
កតញ្ញុតា,ន.
កតញ្ញូ,ន.
កតវេទិតា,ន.
កតវេទី,ន.
កតិកា,ន.
កតូបការៈ,ន.
កត្តា,ន.
